t,X_p,X_emb,S,H,H_b,R,I_emb,I_p,I,A,M,J,C_W_1,D_G_1,D_M_1,D_A_1,D_R_1,D_h_1,y_G,y_M,y_A,y_R,h_z,h_S
0.97366814884126,0.00019721908280124914,1.5626565685527543e-7,2.0663253077670723e-7,1.0312128309512694e-7,5.1561334067501096e-8,0.0,1.4608563250233389e-6,0.0,1.4608563250233389e-6,4.820825872577017e-7,3.8916235620149244e-8,1.5998431946108883e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0150413402743252,0.00020135330507015385,7.193054391144942e-9,2.2614617731606627e-7,1.1333267888838671e-7,5.666703823318378e-8,0.0,1.609928927501246e-6,0.0,1.609928927501246e-6,5.312765460754111e-7,4.4196344438604226e-8,1.825420663317317e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0157053715472082,0.00020141965849323226,4.727060976106842e-9,2.2646756079404937e-7,1.1350127758701759e-7,5.6751337590800876e-8,0.0,1.612394920916461e-6,0.0,1.612394920916461e-6,5.320903239024321e-7,4.428500621312352e-8,1.8292163382401575e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0163073269040535,0.00020147980897120989,2.4895928305264718e-9,2.2675912171710735e-7,1.1365424299645754e-7,5.682782029998216e-8,0.0,1.6146323890621138e-6,0.0,1.6146323890621138e-6,5.328286883904975e-7,4.436548860107376e-8,1.8326620924650067e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0167999367077558,0.00020152903307862167,6.565005063636209e-10,2.269979484721876e-7,1.1377955379162066e-7,5.689047569818072e-8,0.0,1.6164654813862766e-6,0.0,1.6164654813862766e-6,5.334336088574712e-7,4.443146323582802e-8,1.835486958217402e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0168048462359112,0.0002015295236639479,6.382311150096648e-10,2.2700032872050788e-7,1.1378080269267113e-7,5.6891100148711935e-8,0.0,1.6164837507776307e-6,0.0,1.6164837507776307e-6,5.334396377566181e-7,4.443212076988605e-8,1.8355151121641415e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0168053363623166,0.00020152957263990141,6.364072498480098e-10,2.2700056634481914e-7,1.1378092737263283e-7,5.689116248869338e-8,0.0,1.6164855746427922e-6,0.0,1.6164855746427922e-6,5.334402396321214e-7,4.443218641267929e-8,1.8355179228228034e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0168054912233928,0.0002015295881144173,6.358309785417776e-10,2.2700064142496795e-7,1.1378096676670914e-7,5.6891182185731715e-8,0.0,1.6164861509140983e-6,0.0,1.6164861509140983e-6,5.334404298016526e-7,4.443220715328183e-8,1.835518810883048e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0168686093712591,0.00020153589520518475,4.009424105323462e-10,2.270312439041394e-7,1.1379702376396329e-7,5.689921068450448e-8,0.0,1.6167210394817524e-6,0.0,1.6167210394817524e-6,5.335179430276184e-7,4.444066125944064e-8,1.8358807957187667e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0169034352408697,0.00020153937518549013,2.713325271120316e-10,2.270481299752739e-7,1.138058838663519e-7,5.69036407357437e-8,0.0,1.6168506493650847e-6,0.0,1.6168506493650847e-6,5.335607142887496e-7,4.4445326329831e-8,1.836080543920047e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
